timeMillis,stepsCount,solutionsChecked,cost,solution,optimalSolutionCost,optimalSolution,firstSolutionCost,firstSolution
17,212,325,255154.0,'[4, 9, 2, 12, 8, 6, 3, 10, 11, 5, 7, 1]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',343664.0,'[9, 10, 2, 7, 3, 12, 6, 5, 1, 11, 4, 8]'
7,226,430,243992.0,'[8, 1, 6, 10, 3, 5, 12, 11, 7, 2, 9, 4]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',300480.0,'[6, 9, 2, 12, 4, 8, 5, 1, 11, 7, 3, 10]'
6,220,350,249994.0,'[8, 12, 6, 11, 2, 1, 9, 3, 4, 5, 7, 10]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',297382.0,'[11, 4, 5, 9, 7, 6, 3, 1, 10, 12, 8, 2]'
6,239,365,256938.0,'[10, 12, 3, 8, 4, 6, 9, 2, 7, 1, 5, 11]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',299866.0,'[4, 10, 11, 7, 9, 2, 8, 1, 12, 6, 5, 3]'
6,217,370,242282.0,'[8, 12, 6, 7, 2, 1, 9, 11, 3, 5, 10, 4]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',309622.0,'[10, 8, 7, 1, 4, 6, 3, 2, 12, 5, 9, 11]'
10,237,575,231902.0,'[4, 5, 11, 3, 7, 9, 12, 10, 8, 6, 1, 2]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',309202.0,'[11, 8, 7, 9, 6, 10, 12, 5, 1, 4, 2, 3]'
10,241,430,251844.0,'[8, 1, 6, 7, 3, 10, 2, 4, 9, 11, 12, 5]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',308934.0,'[5, 11, 7, 12, 3, 10, 4, 2, 1, 8, 6, 9]'
5,216,410,243490.0,'[4, 1, 8, 9, 3, 5, 7, 11, 10, 2, 12, 6]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',336012.0,'[8, 11, 7, 1, 4, 5, 6, 2, 3, 9, 10, 12]'
0,239,420,242568.0,'[8, 11, 6, 10, 3, 5, 7, 1, 4, 2, 9, 12]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',312014.0,'[4, 1, 6, 7, 8, 12, 2, 5, 10, 9, 3, 11]'
15,236,395,241722.0,'[8, 12, 1, 5, 3, 7, 2, 4, 10, 11, 9, 6]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',307550.0,'[3, 2, 8, 7, 1, 12, 4, 6, 10, 5, 11, 9]'
0,211,365,248420.0,'[4, 6, 5, 2, 1, 8, 7, 10, 9, 3, 12, 11]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',316066.0,'[1, 6, 7, 3, 11, 4, 10, 5, 12, 2, 8, 9]'
0,227,400,242802.0,'[4, 12, 5, 10, 2, 3, 6, 8, 7, 1, 9, 11]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',308490.0,'[7, 9, 6, 4, 12, 10, 8, 11, 5, 2, 1, 3]'
16,231,400,254042.0,'[8, 5, 1, 4, 11, 7, 9, 2, 6, 3, 12, 10]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',297454.0,'[4, 12, 2, 5, 1, 7, 6, 11, 8, 10, 3, 9]'
0,221,440,250034.0,'[4, 9, 11, 6, 5, 3, 2, 10, 7, 1, 12, 8]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',303506.0,'[12, 5, 6, 2, 9, 3, 10, 8, 7, 1, 4, 11]'
15,235,375,244000.0,'[8, 6, 5, 2, 11, 4, 7, 1, 3, 9, 12, 10]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',296478.0,'[3, 4, 5, 8, 7, 2, 11, 9, 10, 6, 12, 1]'
8,215,425,247312.0,'[4, 10, 1, 5, 6, 3, 9, 7, 11, 2, 12, 8]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',322508.0,'[12, 4, 10, 9, 8, 6, 5, 1, 3, 11, 7, 2]'
0,229,385,237560.0,'[4, 12, 10, 5, 8, 6, 3, 2, 9, 7, 1, 11]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',329496.0,'[12, 4, 6, 7, 2, 5, 10, 3, 11, 1, 9, 8]'
0,235,360,246452.0,'[4, 12, 2, 9, 5, 7, 1, 8, 3, 6, 10, 11]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',342402.0,'[12, 11, 7, 5, 3, 2, 9, 6, 8, 10, 4, 1]'
16,229,405,253230.0,'[11, 6, 4, 5, 7, 3, 12, 10, 8, 1, 9, 2]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',317876.0,'[2, 9, 1, 7, 8, 3, 5, 11, 4, 6, 10, 12]'
0,226,340,252736.0,'[4, 1, 6, 5, 3, 7, 9, 11, 10, 2, 12, 8]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',307722.0,'[5, 1, 9, 8, 7, 12, 3, 4, 2, 6, 10, 11]'
