timeMillis,stepsCount,solutionsChecked,cost,solution,optimalSolutionCost,optimalSolution,firstSolutionCost,firstSolution
53,18,1188,253642.0,'[3, 12, 6, 11, 2, 10, 8, 7, 4, 5, 1, 9]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',296834.0,'[1, 11, 12, 10, 2, 7, 5, 6, 8, 4, 3, 9]'
32,17,1122,240400.0,'[10, 7, 12, 4, 6, 3, 9, 1, 11, 2, 5, 8]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',298754.0,'[7, 8, 12, 4, 9, 6, 5, 1, 2, 11, 3, 10]'
15,16,1056,252276.0,'[10, 9, 12, 4, 2, 11, 5, 8, 3, 6, 7, 1]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',284600.0,'[10, 7, 12, 2, 11, 4, 1, 8, 9, 6, 3, 5]'
16,17,1122,241342.0,'[8, 2, 6, 10, 12, 7, 3, 5, 4, 11, 9, 1]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',302482.0,'[6, 2, 4, 9, 12, 5, 3, 8, 10, 11, 7, 1]'
22,16,1056,242344.0,'[11, 5, 2, 6, 3, 8, 1, 10, 9, 12, 7, 4]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',279856.0,'[11, 12, 2, 6, 1, 9, 3, 4, 7, 5, 8, 10]'
16,14,924,259504.0,'[11, 12, 2, 6, 8, 4, 3, 7, 5, 9, 10, 1]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',291054.0,'[11, 6, 7, 5, 8, 4, 3, 2, 12, 9, 10, 1]'
31,16,1056,245148.0,'[5, 2, 7, 4, 6, 8, 1, 9, 10, 11, 12, 3]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',294406.0,'[3, 9, 6, 4, 7, 8, 11, 10, 2, 1, 12, 5]'
16,17,1122,246850.0,'[4, 2, 6, 1, 5, 7, 9, 12, 11, 10, 3, 8]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',300116.0,'[4, 2, 8, 1, 9, 12, 7, 6, 11, 10, 5, 3]'
15,16,1056,241764.0,'[4, 7, 2, 5, 12, 8, 6, 10, 9, 3, 1, 11]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',298292.0,'[4, 12, 10, 2, 7, 8, 9, 5, 11, 3, 1, 6]'
22,14,924,243170.0,'[8, 9, 6, 2, 10, 1, 7, 5, 4, 11, 12, 3]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',264622.0,'[8, 5, 3, 11, 10, 1, 7, 9, 4, 2, 12, 6]'
0,14,924,259312.0,'[10, 2, 12, 4, 8, 11, 5, 6, 7, 3, 9, 1]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',295928.0,'[10, 4, 12, 2, 6, 11, 3, 8, 7, 5, 9, 1]'
16,18,1188,241184.0,'[5, 12, 7, 4, 2, 10, 3, 9, 8, 6, 1, 11]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',305524.0,'[6, 12, 10, 7, 2, 4, 1, 9, 11, 3, 8, 5]'
15,17,1122,237756.0,'[11, 7, 2, 8, 6, 5, 12, 10, 9, 1, 3, 4]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',282500.0,'[2, 5, 9, 8, 6, 11, 1, 10, 7, 3, 12, 4]'
16,16,1056,241696.0,'[5, 12, 3, 8, 4, 11, 2, 7, 10, 1, 9, 6]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',292788.0,'[9, 10, 6, 8, 4, 2, 11, 12, 7, 1, 5, 3]'
15,16,1056,239856.0,'[4, 9, 5, 2, 10, 1, 7, 8, 3, 6, 12, 11]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',296852.0,'[2, 9, 3, 1, 10, 4, 5, 8, 12, 6, 7, 11]'
23,16,1056,245910.0,'[11, 12, 10, 6, 8, 5, 7, 2, 3, 9, 1, 4]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',294944.0,'[10, 3, 11, 1, 8, 5, 2, 6, 12, 9, 7, 4]'
15,15,990,250136.0,'[4, 7, 11, 3, 6, 9, 1, 8, 2, 10, 12, 5]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',288092.0,'[7, 2, 11, 3, 6, 9, 1, 4, 12, 10, 8, 5]'
16,16,1056,248262.0,'[4, 6, 2, 12, 5, 3, 7, 10, 8, 1, 9, 11]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',285668.0,'[2, 9, 4, 12, 3, 7, 8, 10, 5, 1, 6, 11]'
16,17,1122,242108.0,'[8, 1, 6, 10, 3, 7, 2, 5, 4, 11, 9, 12]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',282874.0,'[8, 1, 6, 7, 9, 11, 2, 4, 3, 5, 10, 12]'
31,17,1122,236768.0,'[8, 9, 6, 2, 11, 5, 3, 10, 7, 1, 12, 4]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',298244.0,'[8, 12, 6, 9, 10, 5, 7, 11, 2, 4, 3, 1]'
