timeMillis,stepsCount,solutionsChecked,cost,solution,optimalSolutionCost,optimalSolution,firstSolutionCost,firstSolution
0,13,295,233848.0,'[4, 9, 11, 3, 10, 7, 12, 8, 5, 6, 1, 2]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',304386.0,'[10, 6, 8, 3, 4, 1, 9, 5, 7, 12, 11, 2]'
12,14,174,247620.0,'[8, 9, 6, 11, 10, 2, 7, 5, 1, 12, 3, 4]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',333902.0,'[2, 7, 6, 10, 11, 12, 4, 5, 1, 9, 3, 8]'
0,7,179,250936.0,'[8, 12, 5, 10, 2, 7, 3, 4, 1, 6, 9, 11]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',304538.0,'[1, 3, 5, 12, 2, 9, 8, 4, 10, 6, 7, 11]'
0,20,204,245086.0,'[11, 12, 2, 6, 8, 5, 7, 1, 3, 9, 10, 4]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',336696.0,'[11, 7, 6, 1, 9, 5, 4, 2, 3, 12, 10, 8]'
10,9,155,256740.0,'[10, 11, 2, 6, 8, 4, 3, 9, 5, 12, 7, 1]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',311484.0,'[2, 5, 10, 6, 11, 3, 8, 9, 4, 12, 7, 1]'
0,15,254,248356.0,'[4, 7, 11, 6, 12, 9, 2, 10, 5, 3, 1, 8]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',343126.0,'[12, 6, 2, 9, 10, 7, 5, 4, 1, 3, 11, 8]'
8,14,254,252416.0,'[4, 1, 11, 3, 6, 9, 7, 5, 2, 10, 12, 8]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',320804.0,'[7, 6, 12, 3, 4, 8, 2, 1, 10, 9, 5, 11]'
2,12,250,246904.0,'[8, 12, 3, 2, 4, 11, 7, 9, 10, 1, 5, 6]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',301376.0,'[10, 6, 7, 2, 4, 5, 12, 9, 11, 1, 8, 3]'
10,22,564,224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',323872.0,'[9, 4, 3, 7, 12, 5, 2, 1, 6, 11, 8, 10]'
0,10,135,259732.0,'[6, 7, 9, 5, 10, 2, 11, 12, 4, 8, 1, 3]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',323212.0,'[1, 3, 4, 9, 10, 2, 11, 12, 5, 8, 6, 7]'
8,15,325,246202.0,'[8, 9, 6, 11, 5, 12, 1, 10, 7, 2, 3, 4]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',314836.0,'[9, 12, 4, 8, 7, 10, 1, 11, 6, 2, 3, 5]'
2,10,219,247470.0,'[6, 11, 3, 1, 7, 2, 10, 12, 4, 8, 5, 9]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',317252.0,'[7, 5, 11, 12, 1, 3, 10, 4, 9, 8, 2, 6]'
8,17,349,241360.0,'[4, 12, 10, 9, 3, 6, 1, 2, 8, 7, 5, 11]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',317870.0,'[12, 1, 9, 10, 11, 6, 4, 2, 5, 8, 3, 7]'
2,6,119,256162.0,'[4, 7, 5, 1, 10, 2, 3, 6, 9, 12, 11, 8]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',316946.0,'[12, 3, 5, 1, 7, 2, 6, 8, 9, 10, 11, 4]'
0,21,291,240604.0,'[8, 5, 1, 2, 10, 11, 9, 6, 7, 3, 12, 4]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',322082.0,'[9, 7, 6, 12, 4, 8, 11, 10, 2, 3, 1, 5]'
8,11,223,248706.0,'[4, 6, 8, 2, 7, 9, 12, 1, 3, 10, 5, 11]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',330664.0,'[6, 11, 2, 7, 12, 5, 1, 3, 9, 10, 8, 4]'
2,9,146,242566.0,'[4, 5, 2, 8, 1, 7, 3, 10, 6, 12, 9, 11]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',284808.0,'[1, 5, 2, 11, 4, 9, 3, 10, 6, 12, 7, 8]'
0,13,235,241016.0,'[4, 6, 11, 10, 7, 3, 12, 1, 5, 8, 9, 2]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',308812.0,'[11, 8, 1, 10, 5, 3, 12, 6, 4, 2, 9, 7]'
9,13,175,253088.0,'[6, 12, 3, 2, 11, 9, 7, 8, 10, 1, 5, 4]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',331306.0,'[10, 11, 2, 3, 4, 12, 6, 9, 7, 1, 5, 8]'
0,17,329,241988.0,'[4, 12, 2, 5, 3, 9, 1, 10, 6, 8, 7, 11]',224416.0,'[8, 1, 6, 2, 11, 10, 3, 5, 9, 7, 12, 4]',343310.0,'[10, 2, 11, 5, 4, 12, 3, 7, 1, 8, 9, 6]'
