timeMillis,stepsCount,solutionsChecked,cost,solution,optimalSolutionCost,optimalSolution,firstSolutionCost,firstSolution
74,16,2172,506866.0,'[16, 1, 2, 11, 7, 9, 5, 8, 15, 13, 12, 10, 3, 6, 17, 14, 4]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',631300.0,'[2, 1, 15, 4, 7, 16, 5, 17, 10, 9, 13, 6, 8, 14, 12, 3, 11]'
46,10,1358,510018.0,'[7, 9, 10, 2, 13, 8, 6, 12, 15, 16, 4, 14, 17, 5, 1, 3, 11]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',619574.0,'[12, 3, 13, 2, 4, 7, 6, 17, 16, 14, 10, 15, 9, 5, 1, 11, 8]'
41,9,1223,526214.0,'[12, 10, 1, 2, 3, 8, 13, 16, 17, 6, 4, 5, 7, 9, 11, 15, 14]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',624938.0,'[10, 12, 1, 17, 4, 5, 15, 16, 13, 9, 3, 6, 8, 7, 11, 2, 14]'
47,9,1221,524460.0,'[16, 12, 9, 1, 5, 8, 7, 13, 11, 14, 3, 2, 15, 17, 6, 4, 10]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',625890.0,'[11, 17, 15, 16, 5, 10, 7, 13, 12, 9, 14, 6, 3, 1, 2, 4, 8]'
68,12,1630,503168.0,'[17, 12, 5, 9, 2, 14, 10, 6, 3, 16, 15, 8, 7, 13, 1, 4, 11]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',652114.0,'[11, 2, 12, 16, 1, 10, 4, 6, 5, 17, 15, 9, 13, 7, 8, 14, 3]'
71,13,1763,508882.0,'[16, 9, 3, 4, 13, 15, 10, 2, 8, 5, 17, 6, 14, 12, 7, 1, 11]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',620568.0,'[11, 2, 12, 14, 13, 7, 9, 5, 15, 3, 17, 6, 4, 16, 10, 1, 8]'
24,5,679,541562.0,'[15, 5, 14, 1, 3, 2, 17, 16, 13, 9, 8, 7, 6, 12, 10, 11, 4]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',615272.0,'[16, 15, 14, 1, 3, 2, 17, 5, 13, 6, 10, 7, 9, 8, 12, 11, 4]'
64,12,1629,516054.0,'[17, 2, 1, 11, 5, 7, 8, 16, 9, 10, 15, 3, 4, 13, 6, 14, 12]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',620598.0,'[2, 10, 7, 5, 13, 4, 17, 9, 15, 3, 11, 1, 8, 16, 6, 14, 12]'
84,17,2306,502240.0,'[8, 12, 1, 2, 6, 5, 11, 4, 14, 3, 13, 15, 17, 9, 10, 16, 7]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',606626.0,'[4, 3, 1, 16, 8, 17, 9, 2, 13, 15, 14, 12, 10, 11, 6, 5, 7]'
46,10,1359,531338.0,'[3, 10, 14, 4, 9, 13, 12, 6, 1, 17, 5, 8, 16, 15, 11, 2, 7]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',637976.0,'[6, 9, 17, 3, 10, 2, 12, 4, 1, 14, 15, 8, 5, 13, 11, 16, 7]'
37,8,1086,507184.0,'[14, 6, 12, 13, 16, 3, 5, 2, 8, 7, 4, 1, 15, 9, 11, 10, 17]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',605760.0,'[6, 9, 7, 4, 5, 3, 16, 2, 8, 10, 13, 1, 17, 12, 11, 14, 15]'
42,9,1223,537168.0,'[5, 9, 12, 11, 16, 14, 1, 17, 15, 13, 6, 10, 4, 3, 2, 7, 8]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',615144.0,'[5, 17, 12, 11, 16, 13, 7, 9, 15, 6, 2, 10, 4, 3, 8, 14, 1]'
42,9,1222,519654.0,'[9, 4, 5, 13, 3, 14, 16, 6, 15, 17, 10, 11, 1, 12, 2, 7, 8]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',618266.0,'[2, 7, 12, 13, 3, 14, 16, 6, 15, 10, 4, 9, 1, 17, 11, 5, 8]'
55,12,1629,506212.0,'[11, 6, 8, 17, 13, 7, 9, 2, 4, 15, 3, 10, 14, 16, 1, 12, 5]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',613214.0,'[13, 5, 7, 10, 16, 12, 9, 11, 8, 3, 15, 17, 2, 6, 1, 14, 4]'
41,9,1220,514710.0,'[11, 1, 16, 17, 8, 7, 3, 9, 14, 15, 13, 2, 4, 10, 6, 12, 5]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',623514.0,'[8, 6, 4, 17, 1, 16, 3, 9, 7, 15, 14, 2, 11, 5, 13, 12, 10]'
