timeMillis,stepsCount,solutionsChecked,cost,solution,optimalSolutionCost,optimalSolution,firstSolutionCost,firstSolution
16,233,365,543838.0,'[5, 12, 9, 3, 13, 15, 2, 11, 8, 17, 4, 6, 7, 16, 14, 1, 10]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',645306.0,'[16, 2, 11, 10, 14, 17, 15, 1, 3, 5, 12, 6, 9, 7, 8, 4, 13]'
15,236,405,547438.0,'[4, 2, 17, 14, 12, 1, 3, 11, 7, 15, 9, 13, 10, 5, 8, 6, 16]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',583616.0,'[12, 15, 16, 17, 4, 3, 11, 13, 7, 5, 6, 1, 2, 10, 14, 9, 8]'
22,238,380,554656.0,'[16, 12, 6, 10, 3, 4, 2, 14, 8, 17, 5, 15, 7, 13, 1, 9, 11]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',647180.0,'[12, 1, 3, 17, 5, 11, 13, 6, 2, 9, 14, 15, 16, 8, 10, 4, 7]'
16,223,415,512536.0,'[12, 10, 1, 7, 16, 8, 9, 2, 15, 13, 17, 4, 11, 5, 6, 3, 14]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',622296.0,'[14, 2, 3, 9, 15, 11, 6, 8, 1, 17, 4, 7, 10, 5, 12, 16, 13]'
16,226,510,523478.0,'[1, 5, 17, 11, 7, 4, 6, 16, 12, 9, 2, 13, 15, 8, 10, 14, 3]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',622890.0,'[10, 4, 9, 12, 16, 14, 1, 7, 17, 3, 6, 13, 8, 11, 15, 5, 2]'
15,238,515,524426.0,'[11, 10, 3, 16, 2, 14, 9, 1, 15, 13, 17, 8, 12, 5, 6, 4, 7]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',641950.0,'[6, 11, 4, 9, 16, 13, 1, 10, 14, 15, 2, 8, 3, 17, 5, 12, 7]'
16,219,405,531146.0,'[8, 9, 2, 10, 4, 11, 6, 3, 13, 7, 1, 17, 14, 16, 15, 12, 5]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',657964.0,'[15, 17, 4, 12, 3, 9, 7, 11, 6, 1, 2, 16, 14, 5, 10, 8, 13]'
15,233,425,550690.0,'[3, 2, 14, 7, 17, 12, 15, 6, 11, 8, 9, 10, 13, 1, 4, 16, 5]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',602768.0,'[3, 13, 2, 17, 9, 7, 10, 16, 11, 6, 4, 12, 15, 1, 8, 14, 5]'
16,233,445,534226.0,'[8, 4, 2, 16, 3, 13, 9, 6, 11, 15, 1, 10, 14, 17, 7, 12, 5]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',609998.0,'[16, 5, 2, 1, 12, 6, 4, 14, 13, 10, 8, 17, 15, 3, 9, 7, 11]'
7,225,370,550738.0,'[17, 12, 14, 2, 15, 7, 9, 13, 5, 8, 3, 16, 6, 11, 1, 4, 10]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',651874.0,'[6, 9, 7, 10, 12, 3, 14, 17, 2, 13, 4, 8, 5, 16, 11, 15, 1]'
15,202,295,536468.0,'[11, 9, 8, 15, 6, 1, 4, 3, 13, 2, 14, 16, 5, 10, 17, 12, 7]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',631614.0,'[13, 3, 17, 14, 9, 5, 10, 1, 7, 4, 8, 12, 11, 6, 15, 16, 2]'
0,215,350,550192.0,'[12, 10, 14, 2, 8, 3, 6, 4, 17, 1, 13, 5, 7, 9, 11, 15, 16]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',623668.0,'[8, 12, 13, 5, 3, 4, 2, 11, 9, 17, 10, 15, 7, 6, 16, 1, 14]'
31,236,470,535708.0,'[15, 1, 14, 6, 9, 4, 2, 17, 3, 16, 13, 8, 5, 7, 10, 12, 11]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',638238.0,'[16, 6, 1, 2, 3, 10, 8, 5, 4, 7, 13, 9, 12, 17, 14, 11, 15]'
0,224,400,546930.0,'[8, 6, 2, 10, 11, 3, 1, 9, 4, 7, 13, 15, 16, 5, 17, 12, 14]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',603624.0,'[11, 6, 15, 9, 14, 10, 13, 7, 2, 3, 17, 8, 12, 4, 1, 5, 16]'
16,227,390,552932.0,'[16, 6, 13, 1, 15, 9, 5, 10, 8, 14, 4, 2, 12, 7, 17, 3, 11]',491812.0,'[12, 2, 6, 7, 4, 8, 14, 5, 11, 3, 16, 13, 17, 9, 1, 10, 15]',631434.0,'[16, 9, 10, 1, 12, 2, 4, 8, 7, 5, 11, 14, 15, 13, 3, 6, 17]'
