timeMillis,stepsCount,solutionsChecked,cost,solution,optimalSolutionCost,optimalSolution,firstSolutionCost,firstSolution
12,715,715,445504.0,'[9, 2, 15, 13, 5, 7, 12, 1, 3, 8, 10, 4, 11, 14, 6]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',505756.0,'[1, 5, 9, 7, 4, 8, 13, 2, 10, 6, 11, 14, 12, 3, 15]'
12,555,555,443978.0,'[8, 2, 4, 1, 13, 6, 11, 7, 15, 10, 9, 5, 12, 3, 14]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',478896.0,'[10, 12, 2, 11, 13, 5, 6, 1, 3, 8, 9, 15, 7, 14, 4]'
12,592,592,449632.0,'[4, 2, 1, 6, 9, 5, 8, 7, 14, 11, 15, 13, 10, 3, 12]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',498632.0,'[3, 13, 1, 7, 11, 10, 4, 8, 6, 2, 5, 9, 15, 14, 12]'
12,397,397,449378.0,'[12, 10, 1, 7, 15, 11, 3, 4, 5, 13, 14, 6, 2, 9, 8]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',499510.0,'[2, 7, 12, 14, 13, 4, 3, 9, 5, 8, 1, 10, 6, 11, 15]'
12,398,398,439262.0,'[4, 7, 9, 15, 6, 8, 12, 13, 1, 11, 2, 10, 14, 3, 5]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',482062.0,'[13, 2, 4, 11, 5, 1, 10, 15, 9, 12, 8, 14, 6, 7, 3]'
12,373,373,442374.0,'[2, 14, 7, 1, 9, 15, 4, 13, 10, 5, 3, 6, 11, 8, 12]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',496552.0,'[10, 3, 11, 1, 7, 14, 4, 2, 13, 8, 6, 15, 5, 12, 9]'
12,375,375,448528.0,'[11, 3, 2, 15, 7, 5, 6, 14, 4, 9, 1, 10, 12, 8, 13]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',475092.0,'[9, 13, 6, 11, 1, 2, 14, 10, 12, 3, 4, 7, 15, 8, 5]'
12,382,382,444222.0,'[13, 7, 10, 4, 5, 12, 2, 9, 14, 11, 1, 6, 15, 3, 8]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',490718.0,'[8, 3, 7, 1, 11, 12, 10, 15, 9, 6, 5, 13, 4, 14, 2]'
12,530,530,441000.0,'[14, 6, 5, 3, 8, 7, 10, 15, 11, 9, 1, 2, 4, 13, 12]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',493730.0,'[1, 3, 11, 10, 2, 7, 12, 9, 6, 5, 4, 15, 8, 13, 14]'
12,376,376,444066.0,'[6, 1, 10, 2, 13, 5, 11, 14, 7, 12, 8, 15, 4, 3, 9]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',510034.0,'[1, 6, 7, 12, 15, 5, 8, 3, 13, 9, 2, 11, 14, 4, 10]'
12,389,389,433196.0,'[1, 3, 15, 5, 11, 7, 13, 9, 14, 4, 12, 10, 6, 2, 8]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',489952.0,'[7, 11, 1, 13, 12, 6, 3, 10, 5, 4, 9, 15, 8, 14, 2]'
12,548,548,442892.0,'[4, 13, 14, 5, 15, 8, 10, 3, 1, 12, 7, 2, 11, 9, 6]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',490430.0,'[11, 12, 15, 7, 13, 5, 8, 10, 3, 2, 14, 1, 9, 4, 6]'
12,501,501,441264.0,'[12, 9, 6, 1, 10, 4, 7, 14, 11, 5, 8, 2, 15, 3, 13]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',480288.0,'[12, 15, 3, 14, 13, 10, 5, 9, 2, 8, 4, 7, 1, 11, 6]'
12,452,452,451046.0,'[12, 11, 7, 6, 13, 15, 5, 1, 9, 10, 4, 14, 8, 3, 2]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',501182.0,'[4, 7, 6, 1, 12, 15, 9, 13, 11, 2, 5, 10, 3, 14, 8]'
12,696,696,445102.0,'[1, 2, 9, 13, 14, 3, 11, 5, 6, 4, 15, 12, 7, 10, 8]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',514568.0,'[8, 7, 5, 9, 15, 10, 6, 3, 2, 1, 4, 13, 11, 14, 12]'
12,367,367,445182.0,'[2, 1, 11, 14, 7, 4, 9, 15, 5, 12, 6, 3, 10, 13, 8]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',483836.0,'[10, 1, 5, 9, 11, 14, 4, 6, 8, 2, 7, 12, 3, 15, 13]'
12,528,528,446028.0,'[5, 11, 7, 1, 9, 3, 8, 15, 14, 4, 13, 12, 2, 10, 6]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',525856.0,'[4, 5, 7, 10, 8, 15, 1, 2, 11, 13, 12, 14, 9, 6, 3]'
12,469,469,438218.0,'[5, 8, 1, 14, 13, 6, 15, 2, 7, 3, 9, 4, 10, 12, 11]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',504718.0,'[11, 9, 5, 2, 15, 7, 10, 14, 12, 4, 8, 1, 6, 3, 13]'
12,524,524,447410.0,'[8, 5, 4, 12, 7, 2, 6, 1, 9, 3, 13, 15, 10, 14, 11]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',541898.0,'[3, 14, 15, 4, 11, 8, 6, 9, 12, 2, 13, 5, 10, 7, 1]'
12,457,457,434708.0,'[14, 6, 15, 12, 7, 1, 9, 8, 2, 3, 13, 10, 5, 4, 11]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',477784.0,'[7, 15, 14, 10, 1, 2, 6, 4, 8, 13, 9, 5, 11, 12, 3]'
