timeMillis,stepsCount,solutionsChecked,cost,solution,optimalSolutionCost,optimalSolution,firstSolutionCost,firstSolution
201,4451,7420,401814.0,'[13, 2, 4, 6, 5, 9, 1, 8, 12, 11, 7, 14, 3, 10, 15]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',513262.0,'[5, 8, 14, 13, 1, 6, 10, 4, 12, 9, 15, 7, 2, 11, 3]'
169,4504,6780,404440.0,'[1, 11, 6, 5, 3, 9, 7, 2, 14, 4, 13, 10, 15, 12, 8]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',510682.0,'[9, 13, 10, 11, 7, 1, 15, 2, 12, 4, 8, 14, 6, 5, 3]'
185,4446,7020,399204.0,'[4, 2, 7, 1, 14, 5, 6, 9, 8, 15, 11, 3, 12, 10, 13]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',504404.0,'[4, 10, 5, 3, 2, 14, 1, 11, 8, 13, 9, 12, 7, 15, 6]'
162,4477,6440,400494.0,'[8, 9, 13, 1, 10, 2, 15, 5, 12, 6, 4, 11, 14, 3, 7]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',478942.0,'[2, 15, 11, 7, 6, 8, 10, 12, 1, 4, 5, 9, 14, 13, 3]'
154,4455,6300,411730.0,'[12, 11, 6, 3, 13, 15, 2, 7, 9, 8, 5, 1, 10, 4, 14]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',461150.0,'[15, 4, 1, 9, 13, 2, 7, 10, 6, 5, 8, 12, 14, 11, 3]'
200,4482,7580,392318.0,'[13, 2, 6, 15, 5, 10, 7, 4, 11, 12, 1, 14, 3, 9, 8]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',491188.0,'[15, 10, 7, 2, 3, 12, 14, 11, 4, 1, 5, 9, 6, 13, 8]'
179,4465,6940,400576.0,'[6, 12, 4, 13, 8, 9, 1, 10, 2, 14, 7, 15, 3, 11, 5]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',485200.0,'[5, 1, 6, 4, 13, 12, 10, 14, 8, 7, 3, 2, 15, 9, 11]'
207,4458,6200,403194.0,'[10, 6, 11, 15, 7, 4, 5, 1, 2, 9, 8, 13, 3, 14, 12]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',487266.0,'[5, 2, 11, 1, 8, 13, 14, 15, 7, 3, 6, 9, 12, 10, 4]'
231,4457,6880,404192.0,'[4, 9, 1, 7, 8, 2, 13, 5, 12, 15, 6, 3, 10, 11, 14]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',494632.0,'[10, 6, 15, 9, 5, 13, 7, 2, 11, 1, 12, 4, 8, 3, 14]'
201,4488,6480,396698.0,'[14, 12, 13, 9, 6, 8, 7, 10, 15, 1, 2, 5, 4, 11, 3]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',511024.0,'[10, 1, 5, 7, 14, 9, 2, 13, 15, 8, 4, 11, 12, 3, 6]'
185,4431,6640,404204.0,'[1, 8, 5, 6, 13, 9, 7, 2, 3, 12, 4, 14, 11, 10, 15]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',492316.0,'[8, 7, 11, 6, 5, 13, 9, 15, 3, 12, 1, 10, 2, 4, 14]'
185,4390,6560,396024.0,'[3, 1, 8, 6, 11, 12, 10, 14, 2, 9, 7, 4, 5, 13, 15]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',509766.0,'[5, 14, 15, 6, 8, 4, 7, 12, 3, 9, 1, 11, 13, 10, 2]'
162,4468,6320,407854.0,'[13, 8, 14, 11, 10, 12, 2, 15, 7, 6, 1, 4, 5, 9, 3]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',511550.0,'[9, 8, 13, 15, 10, 14, 5, 6, 4, 3, 11, 2, 1, 12, 7]'
169,4470,6640,402080.0,'[6, 2, 11, 13, 14, 1, 12, 3, 8, 4, 7, 5, 15, 10, 9]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',497166.0,'[15, 12, 5, 4, 1, 8, 3, 11, 6, 7, 14, 13, 9, 2, 10]'
170,4500,6640,400700.0,'[1, 15, 2, 6, 8, 13, 9, 7, 3, 10, 4, 14, 11, 12, 5]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',490568.0,'[3, 9, 15, 5, 1, 12, 8, 7, 4, 10, 2, 14, 13, 11, 6]'
162,4488,6560,396890.0,'[6, 2, 11, 1, 14, 5, 4, 13, 8, 12, 7, 3, 15, 10, 9]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',471482.0,'[12, 11, 14, 15, 5, 2, 13, 10, 6, 1, 7, 8, 3, 9, 4]'
