timeMillis,stepsCount,solutionsChecked,cost,solution,optimalSolutionCost,optimalSolution,firstSolutionCost,firstSolution
47,12,1256,399408.0,'[8, 4, 2, 11, 6, 1, 7, 3, 13, 10, 12, 9, 15, 14, 5]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',526664.0,'[4, 8, 6, 10, 5, 1, 9, 2, 12, 14, 3, 11, 15, 7, 13]'
22,7,734,423840.0,'[6, 13, 3, 4, 7, 11, 2, 9, 10, 1, 14, 8, 5, 12, 15]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',484176.0,'[15, 6, 13, 14, 1, 11, 7, 2, 10, 9, 4, 8, 5, 12, 3]'
15,5,524,423046.0,'[1, 3, 12, 6, 5, 10, 13, 8, 4, 15, 14, 7, 2, 9, 11]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',491718.0,'[3, 6, 11, 14, 5, 10, 1, 8, 4, 15, 13, 7, 2, 9, 12]'
16,6,630,415694.0,'[7, 3, 5, 14, 9, 11, 8, 12, 15, 10, 6, 2, 4, 1, 13]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',484866.0,'[3, 7, 5, 2, 9, 11, 1, 12, 8, 10, 15, 6, 4, 14, 13]'
16,6,629,406688.0,'[2, 1, 7, 10, 3, 4, 12, 15, 14, 6, 9, 11, 8, 13, 5]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',488330.0,'[5, 15, 7, 9, 6, 4, 12, 2, 8, 3, 10, 11, 14, 13, 1]'
15,9,944,410592.0,'[5, 9, 1, 13, 7, 4, 6, 8, 12, 15, 2, 10, 14, 11, 3]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',495422.0,'[8, 5, 4, 15, 7, 2, 12, 11, 6, 10, 3, 13, 14, 9, 1]'
38,9,941,406616.0,'[13, 6, 9, 15, 7, 10, 11, 8, 12, 5, 1, 4, 3, 14, 2]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',473056.0,'[6, 9, 12, 10, 1, 3, 5, 8, 7, 11, 13, 15, 4, 14, 2]'
16,9,944,404984.0,'[7, 1, 9, 13, 3, 4, 12, 8, 6, 2, 5, 11, 14, 15, 10]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',503272.0,'[11, 2, 3, 9, 6, 4, 15, 5, 13, 7, 8, 12, 14, 1, 10]'
31,9,944,408412.0,'[8, 13, 4, 9, 6, 1, 7, 5, 2, 14, 12, 10, 3, 11, 15]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',468072.0,'[8, 13, 4, 11, 1, 5, 6, 7, 12, 14, 3, 10, 9, 2, 15]'
16,9,943,404794.0,'[1, 6, 13, 9, 4, 7, 8, 5, 3, 15, 2, 10, 14, 12, 11]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',485718.0,'[15, 6, 12, 1, 4, 7, 8, 14, 3, 5, 2, 10, 9, 13, 11]'
37,10,1047,399594.0,'[14, 6, 11, 15, 7, 12, 9, 10, 2, 3, 4, 8, 5, 13, 1]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',462394.0,'[1, 4, 11, 8, 2, 7, 12, 10, 14, 3, 6, 9, 5, 13, 15]'
16,7,734,409420.0,'[4, 7, 14, 1, 6, 9, 13, 2, 15, 8, 11, 3, 10, 5, 12]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',484688.0,'[4, 7, 2, 1, 10, 9, 12, 14, 11, 13, 15, 3, 6, 5, 8]'
38,11,1153,402066.0,'[2, 13, 3, 9, 6, 8, 7, 1, 4, 14, 10, 5, 15, 11, 12]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',501104.0,'[13, 7, 3, 1, 12, 10, 2, 11, 14, 4, 8, 5, 9, 6, 15]'
20,8,839,411898.0,'[8, 6, 1, 15, 13, 7, 4, 5, 9, 11, 12, 14, 10, 2, 3]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',483350.0,'[10, 14, 1, 3, 6, 7, 5, 15, 13, 11, 12, 8, 9, 2, 4]'
15,8,840,408266.0,'[1, 12, 4, 8, 5, 9, 7, 11, 3, 14, 13, 15, 2, 10, 6]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',507010.0,'[15, 2, 4, 3, 5, 7, 14, 8, 6, 9, 13, 12, 1, 10, 11]'
11,5,524,418616.0,'[13, 7, 1, 2, 4, 8, 11, 9, 10, 15, 5, 3, 12, 6, 14]',388214.0,'[5, 10, 4, 13, 2, 9, 1, 11, 12, 14, 7, 15, 3, 8, 6]',473404.0,'[5, 13, 2, 12, 4, 11, 8, 9, 10, 15, 7, 3, 1, 6, 14]'
