timeMillis,stepsCount,solutionsChecked,cost,solution,optimalSolutionCost,optimalSolution,firstSolutionCost,firstSolution
1073,27,10201,5260.0,'[13, 26, 24, 1, 27, 20, 10, 9, 4, 11, 3, 21, 18, 22, 28, 17, 7, 19, 8, 23, 16, 12, 5, 14, 2, 6, 25, 15]',5166.0,'[18, 21, 9, 1, 28, 20, 11, 3, 13, 12, 10, 19, 14, 22, 15, 2, 25, 16, 4, 23, 7, 17, 24, 26, 5, 27, 8, 6]',6964.0,'[18, 12, 11, 10, 19, 4, 15, 2, 7, 28, 23, 25, 1, 26, 8, 21, 6, 14, 27, 5, 16, 3, 20, 17, 22, 13, 24, 9]'
932,24,9067,5382.0,'[4, 6, 26, 22, 7, 2, 17, 18, 9, 10, 16, 3, 1, 28, 21, 15, 14, 19, 25, 27, 24, 11, 12, 5, 8, 13, 20, 23]',5166.0,'[18, 21, 9, 1, 28, 20, 11, 3, 13, 12, 10, 19, 14, 22, 15, 2, 25, 16, 4, 23, 7, 17, 24, 26, 5, 27, 8, 6]',7118.0,'[7, 23, 26, 22, 6, 19, 14, 10, 25, 5, 17, 1, 15, 27, 21, 11, 18, 8, 3, 12, 28, 2, 20, 13, 16, 9, 24, 4]'
664,17,6422,5460.0,'[12, 2, 25, 6, 1, 3, 19, 27, 24, 10, 13, 16, 17, 15, 7, 5, 14, 18, 26, 22, 23, 11, 20, 9, 21, 8, 4, 28]',5166.0,'[18, 21, 9, 1, 28, 20, 11, 3, 13, 12, 10, 19, 14, 22, 15, 2, 25, 16, 4, 23, 7, 17, 24, 26, 5, 27, 8, 6]',6880.0,'[9, 13, 25, 11, 2, 5, 6, 10, 1, 26, 12, 16, 17, 28, 20, 7, 3, 18, 4, 22, 19, 14, 23, 24, 21, 8, 27, 15]'
1002,25,9446,5288.0,'[18, 21, 17, 2, 28, 27, 12, 3, 13, 11, 10, 26, 20, 15, 22, 5, 16, 24, 4, 1, 14, 25, 23, 19, 6, 9, 8, 7]',5166.0,'[18, 21, 9, 1, 28, 20, 11, 3, 13, 12, 10, 19, 14, 22, 15, 2, 25, 16, 4, 23, 7, 17, 24, 26, 5, 27, 8, 6]',7012.0,'[18, 10, 28, 1, 14, 26, 5, 2, 11, 17, 22, 16, 21, 15, 12, 24, 19, 25, 23, 3, 20, 6, 8, 27, 13, 9, 7, 4]'
1084,22,8314,5348.0,'[26, 21, 4, 1, 7, 12, 11, 17, 5, 19, 10, 13, 14, 15, 22, 2, 28, 24, 18, 16, 6, 25, 3, 27, 9, 20, 23, 8]',5166.0,'[18, 21, 9, 1, 28, 20, 11, 3, 13, 12, 10, 19, 14, 22, 15, 2, 25, 16, 4, 23, 7, 17, 24, 26, 5, 27, 8, 6]',6944.0,'[19, 15, 9, 2, 20, 13, 22, 23, 6, 7, 3, 12, 10, 5, 21, 24, 11, 26, 1, 16, 27, 25, 28, 14, 4, 18, 17, 8]'
909,23,8691,5294.0,'[20, 23, 15, 1, 22, 26, 18, 4, 17, 19, 5, 27, 25, 8, 28, 24, 7, 13, 11, 9, 16, 12, 6, 21, 3, 14, 10, 2]',5166.0,'[18, 21, 9, 1, 28, 20, 11, 3, 13, 12, 10, 19, 14, 22, 15, 2, 25, 16, 4, 23, 7, 17, 24, 26, 5, 27, 8, 6]',6910.0,'[25, 18, 21, 12, 24, 23, 20, 4, 9, 13, 3, 16, 5, 8, 6, 19, 7, 15, 11, 22, 26, 1, 27, 28, 10, 17, 14, 2]'
903,23,8692,5414.0,'[20, 7, 5, 8, 14, 23, 18, 11, 25, 26, 17, 22, 24, 1, 15, 3, 21, 12, 13, 2, 6, 19, 10, 27, 16, 28, 4, 9]',5166.0,'[18, 21, 9, 1, 28, 20, 11, 3, 13, 12, 10, 19, 14, 22, 15, 2, 25, 16, 4, 23, 7, 17, 24, 26, 5, 27, 8, 6]',6770.0,'[18, 6, 5, 15, 13, 26, 7, 11, 8, 19, 16, 22, 27, 4, 17, 20, 21, 14, 28, 3, 9, 24, 1, 25, 23, 12, 2, 10]'
855,22,8314,5284.0,'[13, 2, 16, 23, 1, 4, 19, 20, 10, 12, 25, 5, 3, 22, 7, 26, 14, 17, 21, 15, 9, 18, 24, 6, 27, 11, 8, 28]',5166.0,'[18, 21, 9, 1, 28, 20, 11, 3, 13, 12, 10, 19, 14, 22, 15, 2, 25, 16, 4, 23, 7, 17, 24, 26, 5, 27, 8, 6]',7050.0,'[1, 7, 15, 10, 3, 18, 4, 21, 23, 26, 9, 11, 20, 6, 27, 5, 12, 19, 2, 16, 25, 17, 24, 22, 14, 13, 28, 8]'
949,24,9066,5362.0,'[19, 23, 9, 1, 22, 10, 12, 11, 6, 20, 26, 13, 14, 8, 24, 4, 28, 17, 5, 15, 2, 18, 25, 21, 7, 27, 16, 3]',5166.0,'[18, 21, 9, 1, 28, 20, 11, 3, 13, 12, 10, 19, 14, 22, 15, 2, 25, 16, 4, 23, 7, 17, 24, 26, 5, 27, 8, 6]',7096.0,'[9, 23, 3, 16, 22, 7, 1, 15, 14, 19, 28, 13, 4, 8, 24, 5, 12, 18, 25, 10, 20, 2, 11, 21, 17, 27, 6, 26]'
1025,26,9824,5324.0,'[13, 2, 15, 22, 1, 5, 10, 18, 9, 12, 16, 6, 3, 27, 28, 24, 21, 25, 11, 20, 8, 19, 23, 7, 17, 14, 26, 4]',5166.0,'[18, 21, 9, 1, 28, 20, 11, 3, 13, 12, 10, 19, 14, 22, 15, 2, 25, 16, 4, 23, 7, 17, 24, 26, 5, 27, 8, 6]',6888.0,'[11, 20, 3, 23, 25, 15, 10, 26, 16, 5, 8, 6, 27, 19, 21, 28, 17, 1, 13, 14, 2, 4, 22, 18, 24, 7, 9, 12]'
