timeMillis,stepsCount,solutionsChecked,cost,solution,optimalSolutionCost,optimalSolution,firstSolutionCost,firstSolution
30,28,1,6002.0,'[1, 5, 13, 21, 7, 19, 18, 17, 28, 11, 14, 24, 25, 20, 15, 27, 3, 12, 2, 22, 4, 10, 6, 23, 9, 26, 16, 8]',5166.0,'[18, 21, 9, 1, 28, 20, 11, 3, 13, 12, 10, 19, 14, 22, 15, 2, 25, 16, 4, 23, 7, 17, 24, 26, 5, 27, 8, 6]',6002.0,'[1, 5, 13, 21, 7, 19, 18, 17, 28, 11, 14, 24, 25, 20, 15, 27, 3, 12, 2, 22, 4, 10, 6, 23, 9, 26, 16, 8]'
28,28,1,6070.0,'[1, 15, 20, 14, 2, 19, 18, 12, 21, 11, 27, 3, 4, 13, 6, 7, 8, 23, 22, 28, 16, 17, 10, 9, 25, 24, 5, 26]',5166.0,'[18, 21, 9, 1, 28, 20, 11, 3, 13, 12, 10, 19, 14, 22, 15, 2, 25, 16, 4, 23, 7, 17, 24, 26, 5, 27, 8, 6]',6070.0,'[1, 15, 20, 14, 2, 19, 18, 12, 21, 11, 27, 3, 4, 13, 6, 7, 8, 23, 22, 28, 16, 17, 10, 9, 25, 24, 5, 26]'
22,28,1,6076.0,'[14, 5, 9, 8, 27, 1, 18, 12, 15, 17, 3, 16, 10, 22, 24, 25, 28, 20, 6, 23, 2, 11, 26, 21, 7, 13, 19, 4]',5166.0,'[18, 21, 9, 1, 28, 20, 11, 3, 13, 12, 10, 19, 14, 22, 15, 2, 25, 16, 4, 23, 7, 17, 24, 26, 5, 27, 8, 6]',6076.0,'[14, 5, 9, 8, 27, 1, 18, 12, 15, 17, 3, 16, 10, 22, 24, 25, 28, 20, 6, 23, 2, 11, 26, 21, 7, 13, 19, 4]'
31,28,1,6062.0,'[1, 4, 13, 27, 7, 17, 18, 19, 21, 11, 6, 24, 28, 22, 2, 26, 3, 9, 23, 8, 25, 12, 20, 10, 16, 14, 5, 15]',5166.0,'[18, 21, 9, 1, 28, 20, 11, 3, 13, 12, 10, 19, 14, 22, 15, 2, 25, 16, 4, 23, 7, 17, 24, 26, 5, 27, 8, 6]',6062.0,'[1, 4, 13, 27, 7, 17, 18, 19, 21, 11, 6, 24, 28, 22, 2, 26, 3, 9, 23, 8, 25, 12, 20, 10, 16, 14, 5, 15]'
26,28,1,5888.0,'[23, 2, 20, 6, 1, 12, 18, 17, 7, 11, 4, 3, 9, 14, 27, 21, 22, 19, 8, 28, 5, 26, 10, 24, 15, 25, 13, 16]',5166.0,'[18, 21, 9, 1, 28, 20, 11, 3, 13, 12, 10, 19, 14, 22, 15, 2, 25, 16, 4, 23, 7, 17, 24, 26, 5, 27, 8, 6]',5888.0,'[23, 2, 20, 6, 1, 12, 18, 17, 7, 11, 4, 3, 9, 14, 27, 21, 22, 19, 8, 28, 5, 26, 10, 24, 15, 25, 13, 16]'
12,28,1,6036.0,'[26, 7, 20, 1, 14, 19, 18, 8, 27, 17, 16, 24, 4, 23, 22, 3, 15, 21, 13, 25, 6, 11, 12, 10, 2, 28, 9, 5]',5166.0,'[18, 21, 9, 1, 28, 20, 11, 3, 13, 12, 10, 19, 14, 22, 15, 2, 25, 16, 4, 23, 7, 17, 24, 26, 5, 27, 8, 6]',6036.0,'[26, 7, 20, 1, 14, 19, 18, 8, 27, 17, 16, 24, 4, 23, 22, 3, 15, 21, 13, 25, 6, 11, 12, 10, 2, 28, 9, 5]'
31,28,1,6024.0,'[27, 6, 16, 15, 7, 19, 18, 12, 8, 11, 22, 26, 1, 25, 21, 23, 14, 24, 2, 28, 9, 17, 10, 20, 3, 5, 13, 4]',5166.0,'[18, 21, 9, 1, 28, 20, 11, 3, 13, 12, 10, 19, 14, 22, 15, 2, 25, 16, 4, 23, 7, 17, 24, 26, 5, 27, 8, 6]',6024.0,'[27, 6, 16, 15, 7, 19, 18, 12, 8, 11, 22, 26, 1, 25, 21, 23, 14, 24, 2, 28, 9, 17, 10, 20, 3, 5, 13, 4]'
31,28,1,6072.0,'[9, 7, 25, 22, 21, 18, 16, 17, 4, 12, 24, 23, 27, 3, 28, 26, 14, 8, 15, 2, 10, 11, 19, 13, 20, 6, 5, 1]',5166.0,'[18, 21, 9, 1, 28, 20, 11, 3, 13, 12, 10, 19, 14, 22, 15, 2, 25, 16, 4, 23, 7, 17, 24, 26, 5, 27, 8, 6]',6072.0,'[9, 7, 25, 22, 21, 18, 16, 17, 4, 12, 24, 23, 27, 3, 28, 26, 14, 8, 15, 2, 10, 11, 19, 13, 20, 6, 5, 1]'
32,28,1,6190.0,'[6, 28, 20, 24, 14, 17, 18, 12, 27, 11, 7, 1, 23, 15, 3, 21, 2, 19, 22, 8, 16, 5, 10, 9, 25, 4, 13, 26]',5166.0,'[18, 21, 9, 1, 28, 20, 11, 3, 13, 12, 10, 19, 14, 22, 15, 2, 25, 16, 4, 23, 7, 17, 24, 26, 5, 27, 8, 6]',6190.0,'[6, 28, 20, 24, 14, 17, 18, 12, 27, 11, 7, 1, 23, 15, 3, 21, 2, 19, 22, 8, 16, 5, 10, 9, 25, 4, 13, 26]'
22,28,1,5932.0,'[7, 15, 16, 23, 1, 17, 18, 19, 8, 11, 2, 3, 22, 24, 6, 26, 14, 12, 21, 28, 20, 5, 9, 10, 13, 4, 25, 27]',5166.0,'[18, 21, 9, 1, 28, 20, 11, 3, 13, 12, 10, 19, 14, 22, 15, 2, 25, 16, 4, 23, 7, 17, 24, 26, 5, 27, 8, 6]',5932.0,'[7, 15, 16, 23, 1, 17, 18, 19, 8, 11, 2, 3, 22, 24, 6, 26, 14, 12, 21, 28, 20, 5, 9, 10, 13, 4, 25, 27]'
