timeMillis,stepsCount,solutionsChecked,cost,solution,optimalSolutionCost,optimalSolution,firstSolutionCost,firstSolution
6,20,1,810158.0,'[9, 8, 5, 4, 14, 13, 11, 1, 2, 10, 18, 16, 15, 6, 7, 17, 20, 19, 12, 3]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',810158.0,'[9, 8, 5, 4, 14, 13, 11, 1, 2, 10, 18, 16, 15, 6, 7, 17, 20, 19, 12, 3]'
7,20,1,787660.0,'[10, 7, 13, 15, 18, 14, 5, 3, 19, 11, 17, 4, 16, 8, 2, 20, 6, 1, 9, 12]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',787660.0,'[10, 7, 13, 15, 18, 14, 5, 3, 19, 11, 17, 4, 16, 8, 2, 20, 6, 1, 9, 12]'
10,20,1,811588.0,'[15, 8, 20, 4, 14, 13, 11, 1, 9, 19, 18, 16, 6, 7, 2, 12, 5, 3, 10, 17]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',811588.0,'[15, 8, 20, 4, 14, 13, 11, 1, 9, 19, 18, 16, 6, 7, 2, 12, 5, 3, 10, 17]'
7,20,1,790466.0,'[8, 2, 9, 14, 18, 7, 11, 10, 19, 6, 15, 4, 20, 17, 16, 5, 12, 13, 1, 3]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',790466.0,'[8, 2, 9, 14, 18, 7, 11, 10, 19, 6, 15, 4, 20, 17, 16, 5, 12, 13, 1, 3]'
6,20,1,830256.0,'[20, 4, 18, 5, 7, 13, 11, 1, 16, 19, 14, 17, 6, 10, 12, 9, 15, 3, 8, 2]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',830256.0,'[20, 4, 18, 5, 7, 13, 11, 1, 16, 19, 14, 17, 6, 10, 12, 9, 15, 3, 8, 2]'
5,20,1,792156.0,'[15, 4, 16, 7, 14, 20, 11, 1, 19, 18, 13, 2, 8, 6, 10, 5, 12, 3, 9, 17]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',792156.0,'[15, 4, 16, 7, 14, 20, 11, 1, 19, 18, 13, 2, 8, 6, 10, 5, 12, 3, 9, 17]'
6,20,1,791572.0,'[10, 6, 7, 9, 13, 5, 8, 11, 3, 19, 4, 17, 20, 14, 2, 16, 18, 15, 1, 12]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',791572.0,'[10, 6, 7, 9, 13, 5, 8, 11, 3, 19, 4, 17, 20, 14, 2, 16, 18, 15, 1, 12]'
7,20,1,740446.0,'[14, 3, 16, 5, 18, 17, 9, 11, 4, 19, 20, 15, 6, 13, 7, 12, 8, 2, 1, 10]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',740446.0,'[14, 3, 16, 5, 18, 17, 9, 11, 4, 19, 20, 15, 6, 13, 7, 12, 8, 2, 1, 10]'
10,20,1,800410.0,'[14, 13, 8, 15, 5, 18, 9, 19, 4, 11, 3, 17, 7, 10, 12, 20, 16, 2, 1, 6]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',800410.0,'[14, 13, 8, 15, 5, 18, 9, 19, 4, 11, 3, 17, 7, 10, 12, 20, 16, 2, 1, 6]'
8,20,1,797608.0,'[9, 5, 8, 17, 15, 13, 2, 11, 19, 6, 3, 10, 7, 16, 4, 14, 20, 12, 1, 18]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',797608.0,'[9, 5, 8, 17, 15, 13, 2, 11, 19, 6, 3, 10, 7, 16, 4, 14, 20, 12, 1, 18]'
13,20,1,808340.0,'[14, 7, 13, 12, 4, 8, 11, 1, 9, 20, 2, 5, 3, 10, 18, 6, 17, 16, 19, 15]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',808340.0,'[14, 7, 13, 12, 4, 8, 11, 1, 9, 20, 2, 5, 3, 10, 18, 6, 17, 16, 19, 15]'
12,20,1,783680.0,'[17, 4, 8, 6, 2, 18, 9, 11, 12, 1, 20, 13, 15, 3, 7, 14, 5, 19, 16, 10]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',783680.0,'[17, 4, 8, 6, 2, 18, 9, 11, 12, 1, 20, 13, 15, 3, 7, 14, 5, 19, 16, 10]'
10,20,1,799518.0,'[10, 2, 15, 7, 18, 8, 11, 19, 13, 9, 6, 16, 5, 14, 20, 4, 3, 1, 17, 12]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',799518.0,'[10, 2, 15, 7, 18, 8, 11, 19, 13, 9, 6, 16, 5, 14, 20, 4, 3, 1, 17, 12]'
10,20,1,791268.0,'[14, 9, 4, 15, 2, 5, 11, 6, 19, 17, 10, 12, 16, 8, 3, 18, 7, 1, 13, 20]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',791268.0,'[14, 9, 4, 15, 2, 5, 11, 6, 19, 17, 10, 12, 16, 8, 3, 18, 7, 1, 13, 20]'
