timeMillis,stepsCount,solutionsChecked,cost,solution,optimalSolutionCost,optimalSolution,firstSolutionCost,firstSolution
84,42,1807,734736.0,'[11, 17, 6, 16, 8, 1, 10, 9, 19, 3, 14, 13, 4, 18, 5, 20, 12, 7, 15, 2]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',927384.0,'[11, 14, 2, 3, 8, 19, 18, 6, 7, 10, 15, 9, 16, 13, 5, 20, 1, 17, 12, 4]'
66,28,1197,736936.0,'[20, 19, 7, 6, 13, 17, 1, 4, 8, 9, 16, 5, 10, 18, 14, 15, 12, 3, 11, 2]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',871698.0,'[19, 4, 8, 13, 20, 6, 1, 18, 17, 12, 16, 14, 10, 3, 11, 15, 9, 7, 5, 2]'
57,33,1289,730650.0,'[3, 5, 17, 20, 10, 8, 19, 11, 18, 2, 6, 4, 15, 12, 7, 13, 16, 9, 1, 14]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',887040.0,'[11, 16, 17, 12, 15, 14, 8, 10, 13, 2, 4, 5, 6, 9, 7, 19, 18, 20, 3, 1]'
46,23,995,751860.0,'[2, 7, 10, 19, 4, 5, 8, 12, 6, 13, 1, 9, 16, 20, 18, 14, 15, 17, 11, 3]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',867794.0,'[18, 3, 11, 5, 7, 13, 20, 6, 9, 19, 1, 10, 16, 8, 12, 14, 15, 17, 2, 4]'
69,25,1409,730302.0,'[4, 10, 15, 14, 9, 2, 11, 3, 19, 6, 8, 18, 12, 16, 5, 13, 17, 1, 7, 20]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',894328.0,'[12, 10, 15, 16, 9, 13, 19, 7, 11, 2, 4, 3, 8, 14, 5, 6, 17, 18, 1, 20]'
47,29,960,739980.0,'[20, 19, 4, 17, 11, 8, 2, 1, 5, 6, 10, 14, 16, 12, 13, 9, 7, 18, 3, 15]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',888130.0,'[5, 19, 1, 10, 3, 16, 6, 14, 2, 17, 13, 20, 8, 12, 4, 9, 7, 18, 11, 15]'
54,33,908,751238.0,'[5, 8, 7, 20, 6, 16, 1, 11, 9, 14, 18, 12, 13, 15, 17, 10, 4, 3, 19, 2]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',901476.0,'[7, 6, 15, 12, 2, 17, 1, 11, 8, 9, 4, 5, 13, 18, 3, 10, 16, 20, 19, 14]'
15,28,467,758932.0,'[12, 18, 16, 7, 2, 14, 1, 17, 11, 10, 19, 4, 15, 20, 9, 3, 8, 6, 13, 5]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',904972.0,'[16, 17, 12, 9, 14, 11, 6, 2, 20, 10, 4, 18, 15, 1, 19, 3, 8, 7, 13, 5]'
32,28,678,747790.0,'[13, 4, 18, 17, 1, 14, 11, 19, 9, 6, 20, 5, 15, 16, 10, 3, 12, 2, 7, 8]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',880810.0,'[8, 12, 5, 19, 1, 2, 10, 13, 4, 7, 20, 11, 15, 16, 14, 3, 6, 9, 17, 18]'
69,35,1414,716472.0,'[10, 8, 16, 20, 12, 3, 19, 2, 13, 5, 6, 9, 15, 1, 7, 14, 4, 11, 17, 18]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',897980.0,'[3, 10, 2, 13, 6, 1, 18, 12, 19, 11, 9, 5, 17, 20, 7, 15, 4, 16, 14, 8]'
46,28,854,744988.0,'[1, 7, 12, 4, 19, 5, 10, 6, 15, 8, 11, 18, 17, 16, 9, 13, 2, 14, 3, 20]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',891606.0,'[2, 9, 4, 16, 12, 8, 5, 17, 19, 10, 18, 3, 6, 11, 7, 13, 14, 1, 20, 15]'
38,26,711,753690.0,'[15, 6, 17, 18, 10, 20, 11, 19, 9, 14, 3, 13, 8, 16, 7, 4, 5, 2, 1, 12]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',892010.0,'[15, 7, 18, 13, 14, 9, 19, 1, 17, 11, 3, 5, 10, 16, 6, 4, 8, 2, 20, 12]'
31,24,771,761006.0,'[14, 20, 3, 18, 15, 19, 9, 17, 4, 6, 1, 10, 2, 12, 5, 11, 16, 7, 8, 13]',703482.0,'[10, 9, 12, 20, 19, 3, 14, 6, 17, 11, 5, 7, 15, 16, 18, 2, 4, 8, 13, 1]',857874.0,'[1, 16, 4, 18, 17, 2, 9, 10, 7, 12, 6, 20, 15, 19, 5, 11, 14, 3, 8, 13]'
