timeMillis,stepsCount,solutionsChecked,cost,solution,optimalSolutionCost,optimalSolution,firstSolutionCost,firstSolution
887,133,7428,5430113.0,'[17, 12, 15, 24, 4, 22, 13, 3, 16, 21, 5, 14, 1, 19, 2, 7, 20, 18, 9, 23, 10, 11, 8, 26, 6, 25]',5386879.0,'[14, 4, 13, 7, 16, 25, 26, 17, 1, 15, 12, 20, 18, 19, 3, 8, 21, 9, 5, 24, 6, 10, 22, 2, 23, 11]',6081254.0,'[5, 21, 10, 16, 26, 17, 8, 24, 7, 1, 23, 13, 25, 6, 15, 18, 11, 12, 20, 4, 2, 22, 19, 14, 9, 3]'
548,102,6271,5399569.0,'[2, 15, 24, 17, 1, 13, 4, 12, 3, 16, 14, 5, 21, 9, 10, 7, 20, 18, 19, 8, 11, 25, 26, 23, 22, 6]',5386879.0,'[14, 4, 13, 7, 16, 25, 26, 17, 1, 15, 12, 20, 18, 19, 3, 8, 21, 9, 5, 24, 6, 10, 22, 2, 23, 11]',5857576.0,'[24, 12, 19, 1, 6, 5, 2, 16, 4, 26, 14, 9, 23, 25, 10, 8, 22, 11, 15, 13, 18, 3, 21, 7, 20, 17]'
470,111,5473,5425601.0,'[17, 2, 9, 25, 16, 4, 13, 24, 19, 3, 5, 14, 21, 15, 7, 12, 20, 1, 18, 10, 8, 26, 11, 23, 22, 6]',5386879.0,'[14, 4, 13, 7, 16, 25, 26, 17, 1, 15, 12, 20, 18, 19, 3, 8, 21, 9, 5, 24, 6, 10, 22, 2, 23, 11]',5963098.0,'[18, 21, 2, 25, 8, 13, 4, 24, 3, 5, 1, 7, 11, 22, 20, 19, 14, 23, 6, 17, 26, 10, 9, 16, 15, 12]'
617,120,7149,5420287.0,'[17, 15, 2, 4, 16, 13, 22, 12, 25, 18, 5, 1, 21, 20, 7, 3, 19, 14, 9, 23, 11, 8, 6, 26, 24, 10]',5386879.0,'[14, 4, 13, 7, 16, 25, 26, 17, 1, 15, 12, 20, 18, 19, 3, 8, 21, 9, 5, 24, 6, 10, 22, 2, 23, 11]',6030873.0,'[17, 1, 13, 7, 26, 11, 2, 16, 25, 23, 18, 15, 12, 20, 3, 4, 21, 10, 9, 8, 5, 24, 19, 14, 22, 6]'
639,114,7462,5387576.0,'[13, 4, 14, 7, 16, 17, 26, 25, 8, 15, 18, 20, 12, 19, 3, 1, 5, 9, 21, 10, 6, 24, 2, 22, 23, 11]',5386879.0,'[14, 4, 13, 7, 16, 25, 26, 17, 1, 15, 12, 20, 18, 19, 3, 8, 21, 9, 5, 24, 6, 10, 22, 2, 23, 11]',6133437.0,'[24, 4, 8, 9, 18, 21, 17, 26, 3, 19, 15, 22, 14, 25, 7, 23, 1, 2, 16, 13, 5, 10, 20, 12, 6, 11]'
564,107,6676,5399569.0,'[24, 2, 15, 17, 1, 13, 4, 12, 3, 16, 21, 14, 5, 9, 10, 7, 20, 18, 19, 25, 8, 11, 26, 23, 6, 22]',5386879.0,'[14, 4, 13, 7, 16, 25, 26, 17, 1, 15, 12, 20, 18, 19, 3, 8, 21, 9, 5, 24, 6, 10, 22, 2, 23, 11]',5828848.0,'[25, 14, 26, 7, 16, 13, 3, 21, 1, 15, 17, 22, 5, 11, 8, 19, 23, 24, 6, 4, 2, 10, 9, 20, 12, 18]'
439,100,5107,5421213.0,'[24, 6, 25, 21, 16, 4, 13, 17, 19, 3, 5, 14, 9, 1, 2, 12, 20, 15, 18, 23, 8, 10, 11, 26, 7, 22]',5386879.0,'[14, 4, 13, 7, 16, 25, 26, 17, 1, 15, 12, 20, 18, 19, 3, 8, 21, 9, 5, 24, 6, 10, 22, 2, 23, 11]',6034014.0,'[5, 18, 1, 23, 10, 16, 4, 17, 9, 2, 15, 11, 13, 8, 3, 14, 6, 24, 26, 19, 7, 25, 21, 22, 20, 12]'
617,134,7313,5412516.0,'[2, 13, 4, 7, 16, 25, 26, 10, 21, 8, 20, 18, 12, 19, 3, 1, 5, 9, 15, 6, 14, 24, 17, 22, 23, 11]',5386879.0,'[14, 4, 13, 7, 16, 25, 26, 17, 1, 15, 12, 20, 18, 19, 3, 8, 21, 9, 5, 24, 6, 10, 22, 2, 23, 11]',6226621.0,'[7, 11, 14, 17, 18, 26, 20, 13, 16, 8, 25, 24, 3, 4, 21, 12, 23, 9, 10, 5, 22, 15, 1, 19, 6, 2]'
432,81,4933,5398718.0,'[4, 12, 22, 13, 16, 24, 25, 1, 2, 15, 20, 18, 21, 19, 3, 8, 9, 5, 14, 6, 26, 7, 17, 10, 23, 11]',5386879.0,'[14, 4, 13, 7, 16, 25, 26, 17, 1, 15, 12, 20, 18, 19, 3, 8, 21, 9, 5, 24, 6, 10, 22, 2, 23, 11]',5791967.0,'[7, 14, 16, 13, 22, 17, 1, 26, 23, 11, 12, 24, 21, 2, 6, 18, 20, 5, 4, 15, 8, 3, 19, 10, 25, 9]'
739,106,7481,5389769.0,'[4, 7, 12, 17, 14, 15, 26, 25, 8, 10, 20, 19, 18, 3, 16, 1, 5, 9, 21, 6, 22, 24, 2, 13, 11, 23]',5386879.0,'[14, 4, 13, 7, 16, 25, 26, 17, 1, 15, 12, 20, 18, 19, 3, 8, 21, 9, 5, 24, 6, 10, 22, 2, 23, 11]',6008609.0,'[12, 20, 6, 18, 5, 19, 9, 14, 3, 25, 10, 21, 26, 15, 11, 16, 2, 24, 7, 1, 4, 22, 13, 8, 23, 17]'
